,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,subject
w_pr,-0.10714891533105152,0.028021503492210244,0.967228106478183,-1.9079257089025359,-0.7828119074934335,-0.13689805735565375,0.5331475002759193,1.7971024406943694,1191.447606012956,0.998731584106667,304SM51WA34XCM4E67SL28LY2UCBS4
beta_1_pr,0.051530795117699264,0.06132153927608627,0.27356514779513535,-0.8613338385501568,0.028749414041048242,0.06955652949637176,0.1210671895968333,0.44616933294510763,19.901941217933587,1.1204632339247973,304SM51WA34XCM4E67SL28LY2UCBS4
beta_2_pr,0.22039531346736346,0.0016669326365515327,0.04951606448838488,0.12748320600649377,0.1853905189724846,0.21836888854897638,0.25361627599142844,0.3245962786608159,882.3809846766968,1.0027111105930948,304SM51WA34XCM4E67SL28LY2UCBS4
eta_1_pr,-0.39777086692122265,0.12035839799680592,1.1048026765493522,-2.769336363164308,-1.0100124815270013,-0.265899541912126,0.29793951132280266,1.7817293289544356,84.2590655440659,1.0305434071361497,304SM51WA34XCM4E67SL28LY2UCBS4
eta_2_pr,-0.24555408346904536,0.01085566025309244,0.31635082195886643,-0.8525379396350433,-0.45998557909568877,-0.2445771868258968,-0.038617062578934894,0.37394514839021803,849.2302365804106,0.9992761433185806,304SM51WA34XCM4E67SL28LY2UCBS4
w,0.4679398733522042,0.008387140039665241,0.28354746066455283,0.028260370835102206,0.21679091264866637,0.4454951094528654,0.7031716444729825,0.9637562535292107,1142.9407985175708,0.9989850255829047,304SM51WA34XCM4E67SL28LY2UCBS4
beta_1,0.5153079511769927,0.6132153927608627,2.7356514779513534,-8.613338385501567,0.2874941404104824,0.6955652949637174,1.210671895968333,4.4616933294510766,19.90194121793359,1.1204632339247973,304SM51WA34XCM4E67SL28LY2UCBS4
beta_2,2.2039531346736347,0.016669326365515328,0.49516064488384876,1.2748320600649377,1.8539051897248457,2.1836888854897634,2.536162759914285,3.245962786608159,882.3809846766966,1.0027111105930948,304SM51WA34XCM4E67SL28LY2UCBS4
eta_1,0.4038002193837525,0.021652235310327637,0.280236891573261,0.0026726331218819956,0.1562640533425868,0.39505161096166364,0.6172410174791609,0.9625143636785316,167.51169675566524,1.0178848742214577,304SM51WA34XCM4E67SL28LY2UCBS4
eta_2,0.4071171763588991,0.0040180430283902335,0.1175924898891507,0.19690751044350702,0.3226236959304352,0.4032915696072941,0.48458022180544774,0.6459089158658377,856.5052037903619,0.9991983792003266,304SM51WA34XCM4E67SL28LY2UCBS4
lp__,-259.367419297921,0.21930433163960436,2.1524366879464916,-264.648149604821,-260.51208091434506,-258.8757078054285,-257.7823754587743,-256.5581277033114,96.33106288640663,1.020619309036813,304SM51WA34XCM4E67SL28LY2UCBS4
w_pr,-1.6840360325929584,0.018746973279535166,0.5432400306944555,-2.8689672840759446,-2.0283388445131263,-1.622292012747203,-1.2817560786352118,-0.7867573443097974,839.6943082793463,1.000600411486469,308Q0PEVB8DPUFML3BKB70KL51T9IW
beta_1_pr,0.5361839380664175,0.005806109855604673,0.14301353928137542,0.30181709881265184,0.4391278680749001,0.5226974901410504,0.6172206075531412,0.8474942200560323,606.7137141495775,1.0016895067221703,308Q0PEVB8DPUFML3BKB70KL51T9IW
beta_2_pr,0.2923305055208748,0.0017901671166112173,0.05637075617695832,0.19714113513352374,0.25135840702773193,0.287543716424778,0.32764947889457774,0.4156637846515785,991.563588563544,1.001355672729384,308Q0PEVB8DPUFML3BKB70KL51T9IW
eta_1_pr,-1.0087940814485736,0.00566583458535501,0.16798083607144038,-1.286366880671402,-1.1253416111373968,-1.02448669493445,-0.9105429783755286,-0.6348050079968395,879.005707054195,1.00072487109301,308Q0PEVB8DPUFML3BKB70KL51T9IW
eta_2_pr,0.5582186190084708,0.013673310952284143,0.44509517582054026,-0.20019130316484987,0.25643540800343945,0.520072727401673,0.821105463135095,1.565076019279695,1059.6401208425584,0.9993493520670198,308Q0PEVB8DPUFML3BKB70KL51T9IW
w,0.06784622980656865,0.0020013698081146405,0.05878643948051074,0.0019274305277461343,0.021263160607936857,0.052498864034044426,0.10008159783367465,0.2156352725503271,862.7791201348992,1.000029184017863,308Q0PEVB8DPUFML3BKB70KL51T9IW
beta_1,5.361839380664175,0.05806109855604666,1.4301353928137541,3.0181709881265184,4.391278680749002,5.226974901410504,6.172206075531413,8.474942200560323,606.713714149579,1.00168950672217,308Q0PEVB8DPUFML3BKB70KL51T9IW
beta_2,2.923305055208748,0.017901671166112163,0.5637075617695831,1.9714113513352376,2.5135840702773193,2.87543716424778,3.2764947889457776,4.156637846515785,991.5635885635447,1.001355672729384,308Q0PEVB8DPUFML3BKB70KL51T9IW
eta_1,0.15989738161741818,0.0015116119598856193,0.042779734769144755,0.09927610710300565,0.13028937337799804,0.15282792672008388,0.1812427220347799,0.26265505066690875,800.9317988571523,1.0004810414171432,308Q0PEVB8DPUFML3BKB70KL51T9IW
eta_2,0.6936050859259045,0.004069645094796794,0.13594894648048433,0.4205802915575639,0.6012967195475398,0.6986323421470335,0.7942702092331431,0.9410795500083367,1115.934280483267,0.9994612449283394,308Q0PEVB8DPUFML3BKB70KL51T9IW
lp__,-221.9670026255594,0.06978359941315669,1.6735993785878054,-226.08994091305206,-222.81275707670522,-221.6227525850678,-220.73103660430294,-219.77536043450817,575.1700703989488,1.002077607126166,308Q0PEVB8DPUFML3BKB70KL51T9IW
w_pr,0.0023098169446614967,0.0397150898367925,1.0094566054562717,-1.919953446086116,-0.6672985214037301,0.010201706800317466,0.661418056951226,1.951213634564796,646.0471424631053,1.0070652265062203,308Q0PEVB8DPUFML3BKB70KL6Q8I9Z
beta_1_pr,-0.017306399125481785,0.03271839418167766,0.4551738504606009,-1.5958137367747107,-0.028951236295728346,0.050107891401143835,0.12931912698230622,0.6596327381302841,193.5399602153223,1.0022830886380485,308Q0PEVB8DPUFML3BKB70KL6Q8I9Z
beta_2_pr,0.29321169228896454,0.0022713016792601528,0.05248801627463375,0.1979840076044902,0.2568305679669105,0.2894323454629905,0.32720564412530884,0.40641090272700264,534.0361727751944,1.0032953475385125,308Q0PEVB8DPUFML3BKB70KL6Q8I9Z
